created_at,user,text_clean,text_preprocessed,polarity_score,polarity
2022-10-28 10:54:54+00:00,Om Udien Official,wisnu    uu pdp akan memperkuat kepercayaan dan pengakuan terhadap kepemimpinan indonesia dalam tata kelola data global indonesia menjadi negara ke di asean yang punya payung hukum perlindungan data pribadin,"['wisnu', 'uu', 'pdp', 'kuat', 'percaya', 'aku', 'pimpin', 'indonesia', 'tata', 'kelola', 'data', 'global', 'indonesia', 'negara', 'asean', 'payung', 'hukum', 'lindung', 'data', 'pribadin']",1,positive
2022-10-28 09:08:46+00:00,Udien Marbot Official,semuel abrijani pangerapan mengatakan pengesahan undangundang pelindungan data pribadi uu pdp oleh presiden pada  oktober  lalu menandai era baru dalam tata kelola data pribadi di ranah digital indonesian,"['semuel', 'abrijani', 'pangerapan', 'kesah', 'undangundang', 'lindung', 'data', 'pribadi', 'uu', 'pdp', 'presiden', 'oktober', 'tanda', 'era', 'tata', 'kelola', 'data', 'pribadi', 'ranah', 'digital', 'indonesian']",2,positive
2022-10-28 09:00:33+00:00,Miwa,wisnu    keren setelah uu pdp akan membentuk lembaga otoritas,"['wisnu', 'keren', 'uu', 'pdp', 'bentuk', 'lembaga', 'otoritas']",1,positive
2022-10-28 08:58:26+00:00,Raavana,wisnu    tegas uu pdp lindungi hak warga negara,"['wisnu', 'uu', 'pdp', 'lindung', 'hak', 'warga', 'negara']",4,positive
2022-10-28 08:34:28+00:00,Ary Prasetyo,pengesahan undangundang pelindungan data pribadi uu pdp oleh presiden pada  oktober  lalu menandai era baru dalam tata kelola data pribadi di ranah digital indonesia n  n,"['kesah', 'undangundang', 'lindung', 'data', 'pribadi', 'uu', 'pdp', 'presiden', 'oktober', 'tanda', 'era', 'tata', 'kelola', 'data', 'pribadi', 'ranah', 'digital', 'indonesia', 'n', 'n']",2,positive
2022-10-28 06:36:35+00:00,Ngalap Berkah Nitizen,usai pengesahan uu perlindungan data pribadi pdp kementerian kominfo menargetkan lembaga otoritas pdp segera terbentuk dalam waktu enam bulann,"['kesah', 'uu', 'lindung', 'data', 'pribadi', 'pdp', 'menteri', 'kominfo', 'target', 'lembaga', 'otoritas', 'pdp', 'bentuk', 'enam', 'bulann']",4,positive
2022-10-28 04:26:37+00:00,Udien Marbot Official,wisnu    semuel abrijani pangerapan mengatakan diterbitkannya undangundang perlindungan data pribadi atau uu pdp mampu menciptakan banyak profesi barun,"['wisnu', 'semuel', 'abrijani', 'pangerapan', 'terbit', 'undangundang', 'lindung', 'data', 'pribadi', 'uu', 'pdp', 'cipta', 'profesi', 'barun']",1,positive
2022-10-28 01:47:58+00:00,Miwa,wisnu    luar biasa manfaatnya uu pdp,"['wisnu', 'manfaat', 'uu', 'pdp']",5,positive
2022-10-28 01:35:44+00:00,Raavana,wisnu    efek positifnya mulai terasa dari uu pdp,"['wisnu', 'efek', 'positif', 'uu', 'pdp']",7,positive
2022-10-28 00:56:42+00:00,Spy Zone,uu pdp akan memperkuat kepercayaan dan rekognisi terhadap kepemimpinan indonesia dalam tata kelola data global indonesia menjadi negara ke di asean yang punya payung hukum perlindungan data pribadin  n,"['uu', 'pdp', 'kuat', 'percaya', 'rekognisi', 'pimpin', 'indonesia', 'tata', 'kelola', 'data', 'global', 'indonesia', 'negara', 'asean', 'payung', 'hukum', 'lindung', 'data', 'pribadin', 'n']",5,positive
2022-10-28 00:54:16+00:00,Ary Prasetyo,dengan diterbitkannya undangundang perlindungan data pribadi atau uu pdp mampu menciptakan banyak profesi barunn  n,"['terbit', 'undangundang', 'lindung', 'data', 'pribadi', 'uu', 'pdp', 'cipta', 'profesi', 'barunn', 'n']",1,positive
2022-10-28 00:40:01+00:00,Warta Ekonomi,xynexis international gelar simposium idpps  yogyakarta berbagai industri kumpul bahas uu pdp,"['xynexis', 'international', 'gelar', 'simposium', 'idpps', 'yogyakarta', 'industri', 'kumpul', 'bahas', 'uu', 'pdp']",4,positive
2022-10-27 23:54:11+00:00,Batara Wisnu,dirjen aptika kominfo uu pdp mampu ciptakan tenaga kerja barunnsemuel abrijani pangerapan mengatakan diterbitkannya undangundang perlindungan data pribadi atau uu pdp mampu menciptakan banyak profesi barun,"['dirjen', 'aptika', 'kominfo', 'uu', 'pdp', 'cipta', 'tenaga', 'kerja', 'barunnsemuel', 'abrijani', 'pangerapan', 'terbit', 'undangundang', 'lindung', 'data', 'pribadi', 'uu', 'pdp', 'cipta', 'profesi', 'barun']",6,positive
2022-10-27 08:05:25+00:00,LampungPostId,pemerintah telah mengesahkan undangundang pelindungan data pribadi ruu pdp yang mengatur berbagai aspek persyaratan pelindungan yang harus diterapkan  nn  n,"['perintah', 'kesah', 'undangundang', 'lindung', 'data', 'pribadi', 'ruu', 'pdp', 'atur', 'aspek', 'syarat', 'lindung', 'terap', 'nn', 'n']",4,positive
2022-10-27 06:01:44+00:00,Media Indonesia,uu perlindungan data pribadi pdp masih perlu pembahasan lebih jelas,"['uu', 'lindung', 'data', 'pribadi', 'pdp', 'bahas']",3,positive
2022-10-27 04:39:57+00:00,Rani,wisnu  dengan adanya uu pdp akan semakin jelas aturan tentang pelindungan data pribadin,"['wisnu', 'uu', 'pdp', 'atur', 'lindung', 'data', 'pribadin']",1,positive
