created_at,user,text_clean,text_preprocessed
2022-03-19 14:05:45+00:00,Mbah Tokok,lanjut  setuju ajukan hak angket soal minyak goreng yg langka begitu harga naik langsung melimpah harus dicari dg detil penyebabnya pemerintah sekarang nganggap enteng kesulitan rakyat kecil apalagi yg tak dpt bantuan pemerintah,"['tuju', 'aju', 'hak', 'angket', 'minyak', 'goreng', 'yg', 'langka', 'harga', 'langsung', 'limpah', 'cari', 'dg', 'detil', 'sebab', 'perintah', 'nganggap', 'enteng', 'sulit', 'rakyat', 'yg', 'dpt', 'bantu', 'perintah']"
2022-03-19 13:35:44+00:00,Tacipi City,kemarin waktu minyak goreng langka saya dari warung minimarket dan supermarket sudah keliling dan tidak ketemu nneh pasca sehari pemerintah umumin penghapusan het seketika semua tersedia nnjadi masih percaya tidak ada mafia,"['kemarin', 'minyak', 'goreng', 'langka', 'warung', 'minimarket', 'supermarket', 'keliling', 'ketemu', 'nneh', 'pasca', 'hari', 'perintah', 'umumin', 'hapus', 'het', 'sedia', 'nnjadi', 'percaya', 'mafia']"
2022-03-19 13:22:45+00:00,Ayun hamunta,puan murka harga minyak goreng belum normal ibuibu menjerit kami meminta komitmen pemerintah untuk menyelesaikan persoalan minyak goreng yang masih langka di pasaran dan membuat masyarakat kesulitan puan maharani,"['puan', 'murka', 'harga', 'minyak', 'goreng', 'normal', 'ibuibu', 'jerit', 'komitmen', 'perintah', 'selesai', 'minyak', 'goreng', 'langka', 'pasar', 'masyarakat', 'sulit', 'puan', 'maharani']"
2022-03-19 13:20:43+00:00,Media Indonesia,harga minyak goreng curah pada tingkat agen itu berarti sekitar rp ribu per liter atau jauh di atas het subsidi yang ditetapkan pemerintah sebesar rp ribu per literxcxa,"['harga', 'minyak', 'goreng', 'curah', 'tingkat', 'agen', 'rp', 'ribu', 'liter', 'het', 'subsidi', 'tetap', 'perintah', 'rp', 'ribu', 'literxcxa']"
2022-03-19 13:20:05+00:00,fian baru,menolak lupandulu bbm naik demo berjilidnitu dulu skrg mak banteng lupa bhw minyak goreng mrupakan kbutuhan pokok didapur yg tengah langka amp adapun hrg dipasaran mahal dulu bbm naik salah pemerintah skrg migor krisis yg disalakan itu masyarakat n,"['tolak', 'lupandulu', 'bbm', 'demo', 'berjilidnitu', 'skrg', 'mak', 'banteng', 'lupa', 'bhw', 'minyak', 'goreng', 'mrupakan', 'kbutuhan', 'pokok', 'dapur', 'yg', 'langka', 'amp', 'hrg', 'pasar', 'mahal', 'bbm', 'salah', 'perintah', 'skrg', 'migor', 'krisis', 'yg', 'sala', 'masyarakat', 'n']"
2022-03-19 12:35:15+00:00,TIGA PERIODE,alhamdulillah berkat motogp dan minyak goreng langka ramadhan kita kali terbebas dari si covid makasih pemerintah,"['alhamdulillah', 'berkat', 'motogp', 'minyak', 'goreng', 'langka', 'ramadhan', 'kali', 'bebas', 'si', 'covid', 'makasih', 'perintah']"
2022-03-19 12:10:06+00:00,PuTunE Mbah ToWo🇮🇩,pantesan minyak goreng langka lha wong apa yg dilakukan pemerintah banyak yg menggorengnya bahkan sampe gosong xfxfxxxfxfxxxfxfxxxfxfxx,"['pantesan', 'minyak', 'goreng', 'langka', 'lha', 'yg', 'perintah', 'yg', 'goreng', 'sampe', 'gosong', 'xfxfxxxfxfxxxfxfxxxfxfxx']"
2022-03-19 12:00:57+00:00,VOI.id,sudah dijamin dapat subsidi dari pemerintah eh minyak goreng curah di daerah ini masih langka,"['jamin', 'subsidi', 'perintah', 'eh', 'minyak', 'goreng', 'curah', 'daerah', 'langka']"
2022-03-19 09:43:37+00:00,hasan,substansi nya adalah di negeri penghasil sawit terbesar minyak goreng bisa langka ini tugas dpr dan pemerintah membuat regulasi kepentingan rakyat bukan cara memasak jika kalian gagal selama  periode bukan nya minta nambah waktu berkuasa serahkan kepada rakyat,"['substansi', 'nya', 'negeri', 'hasil', 'sawit', 'besar', 'minyak', 'goreng', 'langka', 'tugas', 'dpr', 'perintah', 'regulasi', 'penting', 'rakyat', 'masak', 'gagal', 'periode', 'nya', 'nambah', 'kuasa', 'serah', 'rakyat']"
2022-03-19 09:33:38+00:00,Nisa Andini,pemerintah sudah menjamin stok minyak goreng terpenuhi jadi ibuibu tidak perlu panik tentang minyak goreng langka dan mahal,"['perintah', 'jamin', 'stok', 'minyak', 'goreng', 'penuh', 'ibuibu', 'panik', 'minyak', 'goreng', 'langka', 'mahal']"
